number,address,description 
1032177,2620 ALKI AVE SW,Electrical Permit 6420626 rec'd final approval 6/4/14 and Electrical Permit 6432864 rec'd final approval 8/22/14 for work originally performed without a permit and inspections in the 2nd floor kitchen.
1032176,6007 CALIFORNIA AVE SW,Application for a Tenant Relocation License.  Total Units: 4; Total units occupied: 3. Change of Use.
1032175,8836 36TH AVE SW,junk in sf zone
1032174,6811 FRANCIS AVE N,"06/10/14 Research has indicated that the lower level of the house is not to be used as an additional dwelling per permit 6137702. In addition, the house is on the market describing the lower level as livable space.I will prepare NOV for illegal use of the dwelling."
1032173,14337 32ND AVE NE,5.27.14: Observed HBMC violations. -GH
1032172,5810 14TH AVE NW,06/09/14 Vacant building violations
1032171,10762 RIVIERA PL NE,06/05/2014 SRW Land Use Violation - Junk Storage / Shoreline Violation
1032170,504 22ND AVE,VIOLATION OF THE HBMC STANDARDS
1032169,3635 WOODLAND PARK AVE N,"See project #6330059, 6330423, 6330424, 6352135, 6375864, 3675866, 6395569, 6395570"
1032168,161 LEE ST,Bldg permit 6421899 issued 6/12/14; Electrical permit 6423220 issued 6/17/14; Side Sewer permit 6429227 issued 7/28/14.
1032167,902 N 93RD ST,Weeds and Vegetation Ordinance Violation
1032166,6108 PHINNEY AVE N,Final inspection & C of O issued under 6428923 as of 9/18/14.
1032165,307 N 103RD ST,06/09/14 Research discovered that a permit no. 6181798 included only initial information collected for change of use from SR to commercial use.
1032164,4525 10TH AVE S,"Permits 6428050, 6427903, 6419133, 6424664, 6421684 & 6420794 were obtained for work originally started without permits & inspections. As of 10/24/14 all required inspections have been requested and approved."
1032163,11221 PALATINE AVE N,06/03/14 Unable to gain access to confirm no water & electric . Research from banner indicates there are 2 outstanding bills. I may contact with realitor but no one showed to meet me on site. The was recently sold. The realtor told me they are going to fix up the house and place back on the market. The house is currently occuppied. The current tenant left me a voice messageafter my attempt to determine the existing conditiong of the property. I left a voice message but haven't heard back from th
1032161,417 WARD ST,Permit 6426041 issued 7/7/14 to complete work begun under permit 6160445; all special inspections requirements have been satisfied.
1032160,7015 2ND AVE NW,06/06/14 Observed vegetation hanging into sidewalk r-o-w.
1032159,915 E HARRISON ST,Violation of storing misc.items in the garage parking area by the water heaters.
1032158,100 NW 79TH ST,06/06/14 Observed vegetation on the corner lot causing site viasion concerns.
1032157,4007 23RD AVE SW,Violation of Land use- Outdoor junk storage
1032156,11309 CORLISS AVE N,Housing and Bldg Maintenance Code Violation
1032155,11017 LAKESIDE AVE NE,Permit 6414935 issued 9/24/14 for addtion & deck accessory begun without permits.
1032154,2905 S ESTELLE ST,VIOLATION OF THE LAND USE CODE
1032153,5001 S THISTLE ST,Cockroaches.
1032152,5503 NE 58TH ST,Permit 6426175 issued 7/8/14 for interior alterations to existing SFR.
1032151,2906 S ESTELLE ST,VIOLATION OF THE LAND USE CODE
1032150,1324 N 100TH ST,Per Inspector Amrhein; no tree code violation has occured.
1032149,2908 S ESTELLE ST,VIOLATION OF THE LAND USE CODE
1032148,3964 S PILGRIM ST,Minor outdoor storage. No vegetation violation on the property.
1032147,3234 34TH AVE S,Outdoor storage and an inoperable RV in the back yard.
1032146,5039 31ST AVE S,Multiple inoperable vehicles and large piles of construction lumber.
1032145,803 YAKIMA AVE S,VIOLATION OF THE WEEDS AND VEGETATION REGS
1032144,4565 33RD AVE S,Vegetation over the sidewalk.
1032143,4568 33RD AVE S,Vegetation over the sidewalk.
1032142,5208 15TH AVE S,Four cars parked on the property.
1032141,9350 55TH AVE S,A rooster in the back yard.
1032140,710 29TH AVE S,VIOLATION OF THE WEEDS AND VEGETATION REGS
1032139,3320 27TH AVE S,VIOLATION OF THE LAND USE CODE
1032138,211 28TH AVE S,VIOLATION OF THE LAND USE CODE
1032137,3827 EVANSTON AVE N,Application for a Tenant Relocation License.  Total units: 4; Total units occupied: 4.  Demolition.
1032136,4241 S MEAD ST,"06/02/14 Fire damaged, vacant building violations"
1032135,9638 BEACON AVE S,"Constructing a foundation in a Steep Slope ECA requires a permit & inspections from DPD. Complete Application 6383881, obtain permit & request inspections or submit application to remove, obtain permit & request inspections."
1032134,4319 SW TRENTON ST,Permit 6419982 approved 6/25/14 to remove Big Leaf Maple tree. Construction of terraced walls in a Potential Slide ECA and Steep Slope ECA are not per Permit 6148116.
1032133,8300 37TH AVE S,Multiple couches in the driveway.
1032132,4521 S FINDLAY ST,Outdoor storage on the property.
1032131,816 26TH AVE,Permit 6421534 was issued 6/6/14 for work originally started without a permit and inspections.
1032130,12230 AURORA AVE N,Permit 6388921 issued on 6/28/14 and finaled on 2/2/16 for interior alterations and occupying space without permits and inspections.
1032129,3200 37TH AVE W,Deck enclosure under the deck does not require construction permit & per the 6/10/14 inspection does not project outside of the allowable area.
1032128,521 20TH AVE,The deck more than 18 above grade in a required front yard has been removed as of 7/23/14.
1032127,1816 24TH AVE E,05/28/2014 SRW  Land Use Violation
1032126,5148 S CRESTON ST,Parking violations on the property.
1032125,4624 42ND AVE S,Vegetation over the sidewalk and street.
1032124,6045 36TH AVE S,Vegetation over the sidewalk.
1032123,8128 50TH AVE S,Possible illegal unit.
1032122,5527 S LEO ST,Lack of Water Service
1032121,11321 40TH AVE NE,03/19/14 Vacant building violations
1032120,2330 S ANGELINE ST,VIOLATION OF WEEDS AND VEGETATION REGULATIONS
1032119,1522 WARREN AVE N,Deck is less than 18 inches above grade.
1032118,4525 RAINIER AVE S,Application for a Tenant Relocation License.  Total units:  2; total units occupied:  2.  Demolition.
1032117,7708 GREENWOOD AVE N,Building appears to be deteriorating and failing structurally. This matter to be handled by Vacant Building Case #1032077
1032116,1114 26TH AVE,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032115,816 21ST AVE,VIOLATION OF THE LAND USE CODE
1032114,5527 S LEO ST,Housing and Building Maintenance Code Violation
1032113,13520 LINDEN AVE N,05/29/14 oBSERVED NO HOMELESS PRESON ON THE EXTERIOR OF THE PROPERTY. i CONTACTED MY CPT OFFICER FOR ASSISTANCE.
1032112,5801 8TH AVE NW,05/29/14 Observed outdoor storage of furinture under a white tent in the driveway. Also furinture placed along sidewalk edge.
1032111,2351 24TH AVE W,"06/03/2014 SRW Outdoor Junk Storage, inoperable vehicle."
1032110,7244 LEDROIT CT SW,LU violation
1032109,666 NE 42ND ST,5.27.14: HBMC Violations observed. -GH
1032108,115 N 81ST ST,05/29/14 Observed vegetation hanging into sidewalk r-o-w
1032107,132 NE 52ND ST,5.28.14: Outdoor junk storage on front porch. -GH
1032106,132 NE 52ND ST,5.28.14: Tree branch hanging less than 8 feet above sidewalk. -GH
1032105,7156 31ST AVE SW,veg hazard
1032104,7755 20TH AVE NW,05/30/14 Observed that new porch has been constructed. The concrete stairs have been covered with a wood finshed which was place over the existing stairs.
1032103,13001 AURORA AVE N,"Land Use Code Violation - light trespass, unpermitted tent"
1032102,4034 LINDEN AVE N,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition.
1032101,5523 35TH AVE NE,5.28.14: Trees are not providing clearance on street from the planting strip. -GH
1032099,7320 35TH AVE NE,Land Use Code Violation - outdoor junk storage
1032098,3912 SW KENYON ST,Garage built without a permit in required front yard has been removed and the original garage has been restored to garage use for required parking on this site.
1032097,10113 34TH AVE SW,Permit 6421356 was issued 6/5/14 and received final approval 6/6/14 for work originally performed without a permit and inspections.
1032096,1615 27TH AVE,VIOLATION OF THE LAND USE CODE-JUNK STORAGE
1032095,5527 S LEO ST,Lack of Water Service
1032094,209 13TH AVE E,Application for a Tenant Relocation License.  Total units: 4; total units occupied: 4.  Demolition.
1032093,12230 AURORA AVE N,Roll up door installed on West side without permits and inspections.
1032092,4607 SW THISTLE ST,junk & parking violations
1032091,3916 SW OTHELLO ST,Citation violation pking
1032090,3432 23RD AVE W,05/30/2014  SRW- Land Use Violation- Junk Storage
1032089,11523 DURLAND AVE NE,Permit 6421733 issued 6/9/14; final inspection & submitted as built drawing 8/26/15.
1032088,302 NW 112TH ST,05/29/14 Observed vegetation hanging into sidewalk r-o-w
1032087,6527 JONES AVE NW,05/29/14 Observed vegetation hanging over into r-o-w
1032086,7320 35TH AVE NE,Land Use Code Violation - outdoor junk storage
1032085,13721 37TH AVE NE,Land Use Code Violation - removal of required off-street parking
1032084,2415 NE 77TH ST,05/21/2014 SRW Vacant - Vegetation
1032083,6539 24TH AVE NW,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1. Demolition.
1032082,6200 CARLETON AVE S,Application for a Tenant Relocation License.  Total units: 6; Total units occupied: 5.  Substantial rehabilitation.
1032081,8646 10TH AVE SW,Violation of Land Use- Outdoor junk storage
1032080,2600 E UNION ST,05/29/14 Vacant building violations
1032079,6302 4TH AVE NE,5.29.14: Vegetation over ROW. -GH
1032078,7939 RENTON AVE S,"Several housing violations including birds in the dryer vent, birds having access to the attic area and frequent electrical breaker issues."
1032077,7708 GREENWOOD AVE N,05/28/14 Vacant building violations
1032076,2607 S HOLLY ST,Outdoor storage and a car parked in the required front yard.
1032075,308 4TH AVE S,VIOLATION OF THE HBMC STANDARDS-HOUSING
1032074,4714 37TH AVE NE,05/28/14 Vacant building violation
1032073,2636 S WARSAW ST,"Outdoor storage, more than three vehicles on the property and an inoperable vehicle."
1032072,6035 38TH AVE NE,Permit 6428799 issued 10/1/14 and inspected for final on 12/8/14.
1032071,2640 S WARSAW ST,"Parking in yards, more than three vehicles and outdoor storage."
1032070,4211 7TH AVE NE,Inspected property and all violations were voluntarily complied with.
1032069,2646 S WARSAW ST,Inoperable vehicles and parking more than three vehicles on a property.
1032068,8401 M L KING JR WAY S,Four vehicles parked on the property.
1032067,10680 62ND AVE S,Vacant building violations
1032066,12707 35TH AVE NE,11/05/13 Vacant building violations
1032065,2549 S EDDY ST,Outdoor junk storage and parking in the front yard.
1032064,4208 S BATEMAN ST,05/21/2014  SRW   Vacant -Vegetation
1032063,2535 S EDDY ST,Minor junk storage in the carport area.
1032062,6411 28TH AVE S,Bags of garbage and parking in the front yard.
1032061,6802 BEACON AVE S,Outdoor junk storage in the back yard.
1032060,6031 BEACON AVE S,Outdoor storage and parking issues.
1032059,6405 28TH AVE S,Outdoor storage in all yards and parking in the front yard.
1032058,5256 11TH AVE NE,5.28.14: HBMC violations. -GH
1032057,1615 N 145TH ST,05/28/14 Vacant building violations
1032056,1424 11TH AVE,Int Insp 5/19/14 DG I called the complainant to verify which project he was complaining about. This construcion is a MRJ project.
1032055,6725 22ND AVE NW,"05/22/14 Conduct a regular HZW & RRIO joint inspection. observed malfunction exterior lighting on front porch, the front door lockinf system needs to be repaired or replaced, the bathroom exhaust fan need to be repair or replaced, the toilet was not backing up but signs indicate something is wrong with the toilet, the outlets in the main floor need to be grounded, the kitchen ceiling lights have water running through them when it's rain,the handrails leding to the basement needs to be repaired o"
1032054,7756 13TH AVE SW,Violation of Land Use- Outdoor junk storage & parking in the required front yard.
1032053,6520 28TH AVE S,Outdoor storage and parking in the front yard.
1032052,2859 NW 61ST ST,05/23/14 Observed trash and debris on the property The owner may have a hoarding issue. This may take additional time to resloved if indeed there's a hoarding problem.
1032051,3040 NW MARKET ST,"permit issued 6423158 for bldg 3053, 6421001 for bldg 3047, 6420998 for bldg 3044, 6420996 for bldg 3010, 6420935 for bldg 3008, 6420928 for bldg 3004, 6420883 for bldg 3020, 6420888 for bldg 3045, 6420167 for rec rm, 6420159 for leasing office, 6420155 for bldg 3038."
1032050,418 NE 92ND ST,05/23/14 MAINTAING A ROOSTER WITHIN CITY LIMITS
1032049,2768 SW HOLDEN ST,05/21/14   Vacant building violations   SW
1032048,7803 RENTON AVE S,Vegetation over the sidewalk.
1032047,341 N 101ST ST,05/20/14 violation of the home occupation standards and structure(trailer) placed in front yard setbacks.
1032046,1501 N 45TH ST,05/20/14 Observed vegetation hanging low by intersection.
1032045,616 N 62ND ST,05/20/14 Observed a trap covering some type of structure located in the front/side yard No semi parked in the driveway.
1032044,8544 23RD AVE NE,05/23/14 Observed one inoperable geo parked in the yard with overgrown grass.
1032043,4204 NE 88TH ST,05/20/14 Observed vegetation creating a traffic hazard.
1032042,10518 35TH AVE NE,05/20/14 Observed exceeding the permitted number of vehicle parked in a single family zone.
1032041,1901 N 37TH ST,05/20/14 Observed at 1903 instead of 1901 N 37th St junk stroage in a trailer parked on the r-o-w. The side and rear yards have large amount of debris piled up.
