id,case_type,description,case_group
943,CONSTRUCTION,Exceptional tree located at NW Property Line  was not represented on plans for permit 6384554. (Tree Protection required at 2283 Viewmont Wy W for Cedrus Deodara Tree located on 2279 Viewmont WY W).,SITE
944,CONSTRUCTION,Sign copy (now Apple TV) was changed without a certificate of approval from the Pioneer Square Preservation Board as required by 23.66.030A.,SIGNS
945,CONSTRUCTION,Side Sewer repairs under Permit 6481048 were covered without DPD inspection approval.,SITE
946,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
947,HOUSING / ZONING,Bradrick 4.24.15 Outdoor junk storage.,ZONING
948,CONSTRUCTION,Constructing a structure larger than 120 square feet and/or an addition to a Single Family Residence without a permit and inspections.,BUILDING
949,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  4; total units occupied:  4.  Demolition.,TENANT RELOCATION ASSIST ORD
950,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units:  2; total unit occupied:  2.  Demolition.,TENANT RELOCATION ASSIST ORD
951,HOUSING / ZONING,land use code violation.,ZONING
952,HOUSING / ZONING,12/29/15 - Vacant building violations,VACANT BUILDING
953,CITATION,"12/18/15 rf Observed boat/water craft parked in required side yard, RV parked in required front yard.",ZONING
954,HOUSING / ZONING,Land code violaton.,ZONING
955,HOUSING / ZONING,12/10/15 Vacant building violations,VACANT BUILDING
956,HOUSING / ZONING,12/24/15 Vacant building violations,VACANT BUILDING
957,CITATION,ST 12/29/15 Parking in required front yard not allowed.,ZONING
958,HOUSING / ZONING,12/22/15 Vacant building violations,VACANT BUILDING
959,HOUSING / ZONING,The heat source is inoperable,HOUSING
960,HOUSING / ZONING,12/29/15 DW There's an E.O. for no permanent heat source in the house.,HOUSING
961,CITATION,"12/23/15 rf Observed outdoor junk storage of various items including but not limited to plywood, and trash.",ZONING
962,CITATION,"12/23/15 rf Observed outdoor junk storage of various items including but not limited to plywood, and trash.",ZONING
963,CITATION,12/29/2015 ED- Tarped junk found on property.,ZONING
964,CITATION,"12/23/15 rf Observed outdoor junk storage of various items including but not limited to wood, metal, and building materials. Inoperable vehicle.",ZONING
965,HOUSING / ZONING,ST 12/15/15 Owner and tenant confirmed on phone that there is no heat.,ZONING
966,HOUSING / ZONING,Land use code violation.,ZONING
967,CITATION,"12/23/15 rf Observed car parked in required side yard, boats/water craft on a trailer parked in the required rear yard.",ZONING
968,CITATION,Land Use Code Violation.  Inoperable vehicle and junk storage.,ZONING
969,CITATION,Land Use Code Violation. Inoperable vehicle.,ZONING
970,CITATION,Land Use Code Violation.  Junk Storage.,ZONING
971,HOUSING / ZONING,12/14/15 - Left message with C to call me with more info.ejl,ZONING
972,CITATION,Land Use Code Violation.  Junk Storage.,ZONING
973,CITATION,ST 12/28/15 Parking not allowed in required front yard.,ZONING
974,CITATION,"12/23/15 rf Observed outdoor junk storage of various items including but not limited to trash, coolers, and furniture.",ZONING
975,CONSTRUCTION,Electrical Permit 6515559 was issued 1/25/16 & received final approval 3/22/16 for electrical work in the House of Hong Restaurant originally performed without a permit and inspections.,ELECTRICAL
976,CITATION,ST 12/28/15 Parking in required front yard not allowed.,ZONING
977,CONSTRUCTION,Demo permit 6458114 issued 12/24/15 for work begun w/o permits & inspections.,BUILDING
978,CITATION,12/21/15 rf Observed four vehicles parked on subject property.,ZONING
979,CITATION,"12/21/15 rf Observed outdoor junk storage of various items including but not limited to pallets, wood, building materials, and trash.",ZONING
980,HOUSING / ZONING,12/24/15 Vacant building violations,VACANT BUILDING
981,CITATION,12/21/15 rf Observed parking in ther required front yard.,ZONING
982,HOUSING / ZONING,"Bradrick 1.24.15 Vacant, Open to entry.",VACANT BUILDING
983,CITATION,Bradrick 12.24.15 Junk Storage in the carport area.,ZONING
984,CITATION,NS inspected the property on 12/22/15- weeds and vegetation violation. Vegetation encroaching into the sidewalk.,WEEDS AND VEGETATION
985,CITATION,"ST 12/23/15 Junk storage including but not limited to gutter, cardboard, used materials and chemicals.",ZONING
986,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:5; total units occupied:4. Substantial rehabilitation.,TENANT RELOCATION ASSIST ORD
987,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
988,HOUSING / ZONING,Bradrick 12.23.15 No heat.,HOUSING
989,CITATION,Landuse violation,ZONING
990,HOUSING / ZONING,12/22/15 EO - Vacant building violations,VACANT BUILDING
991,HOUSING / ZONING,12/22/15 EO - Vacant building violations,VACANT BUILDING
992,HOUSING / ZONING,12/22/15 EO - vacant building violations,VACANT BUILDING
993,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
994,HOUSING / ZONING,12/22/15 EO - vacant building violations,VACANT BUILDING
995,HOUSING / ZONING,HBMC Violation including but not limited to missing handrail and NW Bedroom ceiling repair unfinished.,HOUSING
996,HOUSING / ZONING,12/22/15 Vacant building violations,VACANT BUILDING
997,HOUSING / ZONING,ST 12/23/15 Home occupation violation with more than 2 vehicles and more than 2 employees at the residential property.,ZONING
998,CITATION,"12/21/15 rf Observed outdoor junk storage of various items including but no limited to carboard boxes, full trashbags, storage bins,  shopping cart, furniture, and trash.",ZONING
999,HOUSING / ZONING,12/18/15 ej- Observed housing code violation throughout 3 different units.,HOUSING
1000,CITATION,12/22/15 DW OBSERVED outdoor storage in the front of the apartment complex inside the wooden fence. We can not address the items indise the glass window because it's inclosed.,ZONING
1001,CITATION,12/22/15 DW OBSERVED outdoor storage in the front of the apartment complex inside the wooden fence. We can not address the items indise the glass window because it's inclosed.,ZONING
1002,CITATION,"12/21/15 rf Observed outdoor junk storage of various items including but not limited to tires, tarps, wood and building materials. Cars parked in required yard.",ZONING
1003,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
1004,HOUSING / ZONING,12/17/15 DW Observed the vacant lot is being used as a staging site withich no permits have been granted.,ZONING
1005,CONSTRUCTION,Trellis built at existing commercial building requires permits and inspections.,BUILDING
1006,CITATION,"12/22/15 DW Observed vegetation overhanging into r-o-w along with an inoperable vehicle parked in the vegetation. In addition, there's a accessory structure placed just off r-o-wwhich is unsecured.",WEEDS AND VEGETATION
1007,CONSTRUCTION,The ecoblock system designed by the Geotech has been installed per the plan.,BUILDING
1008,CITATION,Weeds and Vegetaion Ordinance Violation.,WEEDS AND VEGETATION
1009,CITATION,"12/18/15 rf Observed outdoor junk storage of various items including but not limited to vehicle parts, air conditioner unit, gas can, full trash bags, furniture, and cables/wires. 3 cars parked in required front yard.",ZONING
1010,HOUSING / ZONING,12/21/15 DW No E.O. but HZW violations exists.I will prepare nov for housing violations.,HOUSING
1011,CITATION,Land use code violation.,ZONING
1012,CITATION,"12/15/15 rf Observed inoperable vehicle  on jack stands and outdoor junk storage of various itmes including but not limited to furniture, clothing and trash on subject property.",ZONING
1013,CITATION,Land use code violation.,ZONING
1014,CONSTRUCTION,This is a duplicate - see Case #1035907.,ELECTRICAL
1015,CONSTRUCTION,Permit 6338482 expired 10/15/2014 without obtaining a final inspection.,ELECTRICAL
1016,CONSTRUCTION,Permit 6312498 expired 2/28/2013 without obtaining a final inspection.,ELECTRICAL
1017,CONSTRUCTION,This is a duplicate - see Case #1035909 for results.,ELECTRICAL
1018,CONSTRUCTION,Constructed a vestibule at the main entrance without permits and inspections. Structure encroaches ROW? and requires SDOT approval.,BUILDING
1019,CONSTRUCTION,Constructing a stone staircase in a Potential Slide and Steep Slope ECA requires permits & inspections from DPD.,BUILDING
1020,CONSTRUCTION,Reconfiguring and enlarging an attached garage into a required yard requires a permit and inspections from DPD (if allowed).,BUILDING
1021,CONSTRUCTION,"Grading in Steep Slope ECA requires grading season extension for Permits 6450207, 6439560 & 6450206. Work requires build over agreement with SPU. STOP WORK ORDER posted 12/18/15 & 1/5/16. (Original Stop Work Order had been removed).",SITE
1022,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
1023,HOUSING / ZONING,Housing and Bldg Maintenance Code Violation,HOUSING
1024,HOUSING / ZONING,"12/16/15 DW Inspection unit 101; the outlets are being over used. The source of electricity is nob & tub which over heats causing power outages;The front door has a crack down the center of the door, the door jam shaould be replaced and weather stripe replaced.",HOUSING
1025,CITATION,12/17/15 DW Observed outdoor storage in the front yard and items being stored in the rear and side side yards.,ZONING
1026,HOUSING / ZONING,Violation of SMC 22.206.260(F) -  Failure to pay Emergency Relocation Assitance.,HOUSING
1027,HOUSING / ZONING,Violation of SMC 22.206.260(F) - Failure to pay Emergency Relocation Assistance.,HOUSING
1028,HOUSING / ZONING,Bradrick 12.18.15 Repairs needed for a small house fire.,HOUSING
1029,HOUSING / ZONING,Land Use Code Violation - nonconforming use in the zone,ZONING
1030,HOUSING / ZONING,12/18/15 Vacant building violations,VACANT BUILDING
1031,CONSTRUCTION,Fire damaged building removed under demo permit 6510554.,BUILDING
1032,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License. Total units:3; total units occupied:3. Demolition.,TENANT RELOCATION ASSIST ORD
1033,HOUSING / ZONING,Bradrick 12.18.15 Commerical activity on this church property. Trucking and outdoor storage.,ZONING
1034,CITATION,12/18/15 ST Vegetation encroaches sidewalk. Sidewalk to be clear concrete edge to concrete edge up to 8 feet above sidewalk.,WEEDS AND VEGETATION
1035,CONSTRUCTION,Retaining wall relocated per the approved plans under permit 6389365.,BUILDING
1036,HOUSING / ZONING,Both elevators are broken and not working.,HOUSING
1037,CITATION,Bradrick 12.17.15 Outdoor junk storage on this property and other Filipino Community properties.,ZONING
1038,HOUSING / ZONING,"NS inspected the property on 12/17/15- Housing violation.  Broken ceiling covering in the living room, water moisture in the closet and the balcony door, missing smoke detector.",HOUSING
1039,CONSTRUCTION,STFI permit 6509674 issued for interior alterations begun w/o permits & inspections.,BUILDING
1040,HOUSING / ZONING,ST 12/17/15 Parking not allowed in front yard.,ZONING
1041,CITATION,ST 12/17/15 HMBC violations.,ZONING
1042,CITATION,Bradrick 12.17.15 Outdoor junk storage is an issue at this property again.,ZONING
1043,HOUSING / ZONING,ST 12/17/15 HMBC violations.,HOUSING
1044,HOUSING / ZONING,ST 12/17/15 Numerous HBMC violations.,HOUSING
1045,HOUSING / ZONING,Bradrick 12.17.15 A large water leak from the kitchen sink valve.,HOUSING
1046,CONSTRUCTION,Work not per Permit 6328657 on east side of project. Gravel placed in Do Not Disturb area is not per the permit (see Sheet L1 of Permit 6328657). A revision to Permit 6328657 or a new permit is required to repair the landslide and restore the required landscaping.,SITE
1047,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 4; total units occupied: 4.  Demolition.,TENANT RELOCATION ASSIST ORD
1048,HOUSING / ZONING,Emergency Conditions - no electricity and no heat,HOUSING
1049,HOUSING / ZONING,Violation of the Seattle Just Cause Eviction Ordinance - SMC 22.206.160(C)(1)(i).  Issuance of notice prior to receipt of permit.,JUST CAUSE EVICTION
1050,HOUSING / ZONING,VIOLATION OF THE LAND USE CODE-CERT OF APPROVAL REQUIRED WORK DONE TO HISTORIC BLDG,ZONING
1051,HOUSING / ZONING,ST 12/15/15 Owner and tenant confirmed on phone that there is no heat.,HOUSING
1052,CONSTRUCTION,Violation withdrawn; exceptional tree failed in wind storm and caused damage to SFR; repair to home under permit 6495413.,SITE
1053,CITATION,Weeds and Vegetation Ordinance Violation.,WEEDS AND VEGETATION
1054,HOUSING / ZONING,"ST 12/15/15 Junk storage including but not limited to shopping cart, plastic, cardboard and other garbage.",ZONING
1055,HOUSING / ZONING,ST 12/14/15 HBMC violations.,HOUSING
1056,HOUSING / ZONING,Re-roofing requires shoreline exemption approval. (Work on roof no longer in progress as of inspection 12/8/15.),ZONING
1057,HOUSING / ZONING,"Several finger piers existed in 2005 and were removed by 2007 (see aerials). Finger piers were added again in 2012. All overwater work occurred w/o permit. To comply w/ 3014707 and shoreline, sections of pier to be demolished",
1058,CONSTRUCTION,Permit 6509817 was issued 2/5/16 and rec'd final approval 2/16/16 for occupying Jus Bar without a Certificate of Occupancy (C of O). C of O was issued 2/16/16.,BUILDING
1059,HOUSING / ZONING,Gas shut off - no heat,HOUSING
1060,CONSTRUCTION,Pizza sign installed without permit was observed.,SIGNS
1061,CITATION,"11/17/15 rf Observed outdoor junk storage of various items including but not limited to building materials, bins and tools.",ZONING
